Znacka,Corona
AF,65
AL,299
DZ,263
AO,197
AR,9253
AM,973
AU,21
AT,2766
AZ,946
BS,58
BD,1308
BY,845
BE,1485
BZ,39
BJ,0
BT,2
BO,74
BA,1135
BW,0
BR,13493
BN,0
BG,327
BF,7
BI,1
KH,0
CM,0
CA,2145
CF,0
CO,8174
CG,0
CR,0
HR,2421
CU,32
CY,101
CZ,7300
ZR,0
DK,945
DJ,6
DO,509
EC,2021
EG,143
SV,0
GQ,0
ER,0
EE,60
ET,485
-992,0
FJ,0
FI,196
FR,52010
GA,0
GM,1
GE,1872
DE,8685
GH,0
GR,790
GL,0
GT,155
GN,0
GW,0
GY,29
HT,11
HN,490
HU,2316
TD,3
CL,1521
CN,26
IS,54
IN,45148
ID,3732
IR,6191
IQ,2554
IE,1020
IL,735
IT,21273
JM,44
JP,540
JO,2337
KZ,166
KE,931
KR,119
KV,186
KW,708
KG,420
LA,0
LV,211
LB,1484
LS,6
LR,0
LY,1639
LT,606
LU,491
MK,560
MG,0
MW,3
MY,823
ML,18
MR,0
MX,4360
MD,414
MN,1
ME,168
MA,3020
MZ,91
MM,986
NA,81
NP,2856
NL,10194
NC,0
NZ,5
NI,0
NE,0
NG,62
NO,0
OM,1095
PK,707
GZ,453
PA,685
PG,5
PY,551
PE,2501
PH,2209
PL,11742
PT,2577
PR,1223
QA,205
RO,3855
RU,16710
RW,6
SS,5
SA,323
SN,8
YF,614
SL,1
SK,3042
SI,1673
SB,0
SO,44
ZA,1622
ES,52188
LK,351
SD,0
SR,4
SE,0
CH,0
SY,49
-995,0
TJ,40
TZ,0
TH,7
TP,0
TG,13
TT,8
TN,0
TR,2017
UG,146
UA,6079
AE,1359
GB,19790
US,59440
UY,44
UZ,280
VE,423
VN,8
-993,0
RY,0
ZM,0
